governor,state,time_in_office,party,year
Bill Owens,Colorado,1999 - 2007,Republican,2007
Jeb Bush,Florida,1999 - 2007,Republican,2007
Kenny Guinn,Nevada,1999 - 2007,Republican,2007
Charles W. Turnbull,Virgin Islands,1999 - 2007,Democrat,2007
Bob Taft,Ohio,1999 - 2007,Republican,2007
Mike Huckabee,Arkansas,1996 - 2007,Republican,2007
George E. Pataki,New York,1995 - 2007,Republican,2007
Sarah Palin,Alaska,2006 - 2009,Republican,2006
James E. Risch,Idaho,2006 - 2007,Republican,2006
Jon Corzine,New Jersey,2006 - 2010,Democrat,2006
Tim Kaine,Virginia,2006 - 2010,Democrat,2006
Benígno Fitial,Northern Mariana Islands,2006 - 2013,Republican,2006
Dave Heineman,Nebraska,2005 - 2015,Republican,2006
Joe Manchin III,West Virginia,2005 - 2010,Democrat,2006
Chris Gregoire,Washington,2005 - 2013,Democrat,2006
Matt Blunt,Missouri,2005 - 2009,Republican,2006
Mitch Daniels,Indiana,2005 - 2013,Republican,2006
John Lynch,New Hampshire,2005 - 2013,Democrat,2006
Jon Huntsman,Utah,2005 - 2009,Republican,2006
Anibal Acevedo Vilá,Puerto Rico,2005 - 2009,Popular Democratic Party,2006
Brian Schweitzer,Montana,2005 - 2013,Democrat,2006
M. Jodi Rell,Connecticut,2004 - 2011,Republican,2006
Kathleen Babineaux Blanco,Louisiana,2004 - 2008,Democrat,2006
Haley Barbour,Mississippi,2004 - 2012,Republican,2006
Ernie Fletcher,Kentucky,2003 - 2007,Republican,2006
Arnold Schwarzenegger,California,2003 - 2011,Republican,2006
Togiola T. A. Tulafono,American Samoa,2003 - 2013,Democrat,2006
Edward G. Rendell,Pennsylvania,2003 - 2011,Democrat,2006
Bob Riley,Alabama,2003 - 2011,Republican,2006
Phil Bredesen,Tennessee,2003 - 2011,Democrat,2006
Mark Sanford,South Carolina,2003 - 2011,Republican,2006
Robert L. Ehrlich,Maryland,2003 - 2007,Republican,2006
Sonny Perdue,Georgia,2003 - 2011,Republican,2006
Rod R. Blagojevich,Illinois,2003 - 2009,Democrat,2006
Brad Henry,Oklahoma,2003 - 2011,Democrat,2006
Ted Kulongoski,Oregon,2003 - 2011,Democrat,2006
Kathleen Sebelius,Kansas,2003 - 2009,Democrat,2006
Jim Douglas,Vermont,2003 - 2011,Republican,2006
John E. Baldacci,Maine,2003 - 2011,Democrat,2006
Mike Rounds,South Dakota,2003 - 2011,Republican,2006
Don Carcieri,Rhode Island,2003 - 2011,Republican,2006
Janet Napolitano,Arizona,2003 - 2009,Democrat,2006
Dave Freudenthal,Wyoming,2003 - 2011,Democrat,2006
Jim Doyle,Wisconsin,2003 - 2011,Democrat,2006
Tim Pawlenty,Minnesota,2003 - 2011,Republican,2006
Felix P. Camacho,Guam,2003 - 2011,Republican,2006
Bill Richardson,New Mexico,2003 - 2011,Democrat,2006
Jennifer M. Granholm,Michigan,2003 - 2011,Democrat,2006
Mitt Romney,Massachusetts,2003 - 2007,Republican,2006
Linda Lingle,Hawaii,2002 - 2010,Republican,2006
Frank H. Murkowski,Alaska,2002 - 2006,Republican,2006
Juan N. Babauta,Northern Mariana Islands,2002 - 2006,Republican,2006
Mark R. Warner,Virginia,2002 - 2006,Democrat,2006
Ruth Ann Minner,Delaware,2001 - 2009,Democrat,2006
Michael F. Easley,North Carolina,2001 - 2009,Democrat,2006
Rick Perry,Texas,2000 - 2015,Republican,2006
John Hoeven,North Dakota,2000 - 2010,Republican,2006
Thomas J. Vilsack,Iowa,1999 - 2007,Democrat,2006
Bill Owens,Colorado,1999 - 2007,Republican,2006
Dirk Kempthorne,Idaho,1999 - 2006,Republican,2006
Jeb Bush,Florida,1999 - 2007,Republican,2006
Kenny Guinn,Nevada,1999 - 2007,Republican,2006
Charles W. Turnbull,Virgin Islands,1999 - 2007,Democrat,2006
Bob Taft,Ohio,1999 - 2007,Republican,2006
Mike Huckabee,Arkansas,1996 - 2007,Republican,2006
George E. Pataki,New York,1995 - 2007,Republican,2006
Dave Heineman,Nebraska,2005 - 2015,Republican,2005
Joe Manchin III,West Virginia,2005 - 2010,Democrat,2005
Chris Gregoire,Washington,2005 - 2013,Democrat,2005
Matt Blunt,Missouri,2005 - 2009,Republican,2005
Mitch Daniels,Indiana,2005 - 2013,Republican,2005
John Lynch,New Hampshire,2005 - 2013,Democrat,2005
Jon Huntsman,Utah,2005 - 2009,Republican,2005
Anibal Acevedo Vilá,Puerto Rico,2005 - 2009,Popular Democratic Party,2005
Brian Schweitzer,Montana,2005 - 2013,Democrat,2005
M. Jodi Rell,Connecticut,2004 - 2011,Republican,2005
Kathleen Babineaux Blanco,Louisiana,2004 - 2008,Democrat,2005
Haley Barbour,Mississippi,2004 - 2012,Republican,2005
Ernie Fletcher,Kentucky,2003 - 2007,Republican,2005
Arnold Schwarzenegger,California,2003 - 2011,Republican,2005
Olene Smith Walker,Utah,2003 - 2005,Republican,2005
Joseph E. Kernan,Indiana,2003 - 2005,Democrat,2005
Togiola T. A. Tulafono,American Samoa,2003 - 2013,Democrat,2005
Edward G. Rendell,Pennsylvania,2003 - 2011,Democrat,2005
Bob Riley,Alabama,2003 - 2011,Republican,2005
Phil Bredesen,Tennessee,2003 - 2011,Democrat,2005
Mark Sanford,South Carolina,2003 - 2011,Republican,2005
Robert L. Ehrlich,Maryland,2003 - 2007,Republican,2005
Sonny Perdue,Georgia,2003 - 2011,Republican,2005
Rod R. Blagojevich,Illinois,2003 - 2009,Democrat,2005
Brad Henry,Oklahoma,2003 - 2011,Democrat,2005
Ted Kulongoski,Oregon,2003 - 2011,Democrat,2005
Craig Benson,New Hampshire,2003 - 2005,Republican,2005
Kathleen Sebelius,Kansas,2003 - 2009,Democrat,2005
Jim Douglas,Vermont,2003 - 2011,Republican,2005
John E. Baldacci,Maine,2003 - 2011,Democrat,2005
Mike Rounds,South Dakota,2003 - 2011,Republican,2005
Don Carcieri,Rhode Island,2003 - 2011,Republican,2005
Janet Napolitano,Arizona,2003 - 2009,Democrat,2005
Dave Freudenthal,Wyoming,2003 - 2011,Democrat,2005
Jim Doyle,Wisconsin,2003 - 2011,Democrat,2005
Tim Pawlenty,Minnesota,2003 - 2011,Republican,2005
Felix P. Camacho,Guam,2003 - 2011,Republican,2005
Bill Richardson,New Mexico,2003 - 2011,Democrat,2005
Jennifer M. Granholm,Michigan,2003 - 2011,Democrat,2005
Mitt Romney,Massachusetts,2003 - 2007,Republican,2005
Linda Lingle,Hawaii,2002 - 2010,Republican,2005
Frank H. Murkowski,Alaska,2002 - 2006,Republican,2005
Juan N. Babauta,Northern Mariana Islands,2002 - 2006,Republican,2005
Mark R. Warner,Virginia,2002 - 2006,Democrat,2005
Bob Wise,West Virginia,2001 - 2005,Democrat,2005
Robert L. Holden,Missouri,2001 - 2005,Democrat,2005
Ruth Ann Minner,Delaware,2001 - 2009,Democrat,2005
Sila M. Calderon,Puerto Rico,2001 - 2005,Popular Democratic Party,2005
Michael F. Easley,North Carolina,2001 - 2009,Democrat,2005
Judy Martz,Montana,2001 - 2005,Republican,2005
Rick Perry,Texas,2000 - 2015,Republican,2005
John Hoeven,North Dakota,2000 - 2010,Republican,2005
Thomas J. Vilsack,Iowa,1999 - 2007,Democrat,2005
Bill Owens,Colorado,1999 - 2007,Republican,2005
Dirk Kempthorne,Idaho,1999 - 2006,Republican,2005
Mike Johanns,Nebraska,1999 - 2005,Republican,2005
Jeb Bush,Florida,1999 - 2007,Republican,2005
Kenny Guinn,Nevada,1999 - 2007,Republican,2005
Charles W. Turnbull,Virgin Islands,1999 - 2007,Democrat,2005
Bob Taft,Ohio,1999 - 2007,Republican,2005
Gary Locke,Washington,1997 - 2005,Democrat,2005
Mike Huckabee,Arkansas,1996 - 2007,Republican,2005
George E. Pataki,New York,1995 - 2007,Republican,2005
M. Jodi Rell,Connecticut,2004 - 2011,Republican,2004
Kathleen Babineaux Blanco,Louisiana,2004 - 2008,Democrat,2004
Haley Barbour,Mississippi,2004 - 2012,Republican,2004
Ernie Fletcher,Kentucky,2003 - 2007,Republican,2004
Arnold Schwarzenegger,California,2003 - 2011,Republican,2004
Olene Smith Walker,Utah,2003 - 2005,Republican,2004
Joseph E. Kernan,Indiana,2003 - 2005,Democrat,2004
Togiola T. A. Tulafono,American Samoa,2003 - 2013,Democrat,2004
Edward G. Rendell,Pennsylvania,2003 - 2011,Democrat,2004
Bob Riley,Alabama,2003 - 2011,Republican,2004
Phil Bredesen,Tennessee,2003 - 2011,Democrat,2004
Mark Sanford,South Carolina,2003 - 2011,Republican,2004
Robert L. Ehrlich,Maryland,2003 - 2007,Republican,2004
Sonny Perdue,Georgia,2003 - 2011,Republican,2004
Rod R. Blagojevich,Illinois,2003 - 2009,Democrat,2004
Brad Henry,Oklahoma,2003 - 2011,Democrat,2004
Ted Kulongoski,Oregon,2003 - 2011,Democrat,2004
Craig Benson,New Hampshire,2003 - 2005,Republican,2004
Kathleen Sebelius,Kansas,2003 - 2009,Democrat,2004
Jim Douglas,Vermont,2003 - 2011,Republican,2004
John E. Baldacci,Maine,2003 - 2011,Democrat,2004
Mike Rounds,South Dakota,2003 - 2011,Republican,2004
Don Carcieri,Rhode Island,2003 - 2011,Republican,2004
Janet Napolitano,Arizona,2003 - 2009,Democrat,2004
Dave Freudenthal,Wyoming,2003 - 2011,Democrat,2004
Jim Doyle,Wisconsin,2003 - 2011,Democrat,2004
Tim Pawlenty,Minnesota,2003 - 2011,Republican,2004
Felix P. Camacho,Guam,2003 - 2011,Republican,2004
Bill Richardson,New Mexico,2003 - 2011,Democrat,2004
Jennifer M. Granholm,Michigan,2003 - 2011,Democrat,2004
Mitt Romney,Massachusetts,2003 - 2007,Republican,2004
Linda Lingle,Hawaii,2002 - 2010,Republican,2004
Frank H. Murkowski,Alaska,2002 - 2006,Republican,2004
James E. McGreevey,New Jersey,2002 - 2004,Democrat,2004
Juan N. Babauta,Northern Mariana Islands,2002 - 2006,Republican,2004
Mark R. Warner,Virginia,2002 - 2006,Democrat,2004
Bob Wise,West Virginia,2001 - 2005,Democrat,2004
Robert L. Holden,Missouri,2001 - 2005,Democrat,2004
Ruth Ann Minner,Delaware,2001 - 2009,Democrat,2004
Sila M. Calderon,Puerto Rico,2001 - 2005,Popular Democratic Party,2004
Michael F. Easley,North Carolina,2001 - 2009,Democrat,2004
Judy Martz,Montana,2001 - 2005,Republican,2004
Rick Perry,Texas,2000 - 2015,Republican,2004
John Hoeven,North Dakota,2000 - 2010,Republican,2004
David Ronald “Ronnie” Musgrove,Mississippi,2000 - 2004,Democrat,2004
Thomas J. Vilsack,Iowa,1999 - 2007,Democrat,2004
Bill Owens,Colorado,1999 - 2007,Republican,2004
Dirk Kempthorne,Idaho,1999 - 2006,Republican,2004
Mike Johanns,Nebraska,1999 - 2005,Republican,2004
Jeb Bush,Florida,1999 - 2007,Republican,2004
Kenny Guinn,Nevada,1999 - 2007,Republican,2004
Charles W. Turnbull,Virgin Islands,1999 - 2007,Democrat,2004
Bob Taft,Ohio,1999 - 2007,Republican,2004
Gary Locke,Washington,1997 - 2005,Democrat,2004
Mike Huckabee,Arkansas,1996 - 2007,Republican,2004
John G. Rowland,Connecticut,1995 - 2004,Republican,2004
George E. Pataki,New York,1995 - 2007,Republican,2004
Mike Foster,Louisiana,1992 - 2004,Republican,2004
John A. Kitzhaber,Oregon,1995 - 2003,Democrat,2003
Ernie Fletcher,Kentucky,2003 - 2007,Republican,2003
Arnold Schwarzenegger,California,2003 - 2011,Republican,2003
Olene Smith Walker,Utah,2003 - 2005,Republican,2003
Joseph E. Kernan,Indiana,2003 - 2005,Democrat,2003
Togiola T. A. Tulafono,American Samoa,2003 - 2013,Democrat,2003
Edward G. Rendell,Pennsylvania,2003 - 2011,Democrat,2003
Bob Riley,Alabama,2003 - 2011,Republican,2003
Phil Bredesen,Tennessee,2003 - 2011,Democrat,2003
Mark Sanford,South Carolina,2003 - 2011,Republican,2003
Robert L. Ehrlich,Maryland,2003 - 2007,Republican,2003
Sonny Perdue,Georgia,2003 - 2011,Republican,2003
Rod R. Blagojevich,Illinois,2003 - 2009,Democrat,2003
Brad Henry,Oklahoma,2003 - 2011,Democrat,2003
Ted Kulongoski,Oregon,2003 - 2011,Democrat,2003
Craig Benson,New Hampshire,2003 - 2005,Republican,2003
Kathleen Sebelius,Kansas,2003 - 2009,Democrat,2003
Jim Douglas,Vermont,2003 - 2011,Republican,2003
John E. Baldacci,Maine,2003 - 2011,Democrat,2003
Mike Rounds,South Dakota,2003 - 2011,Republican,2003
Don Carcieri,Rhode Island,2003 - 2011,Republican,2003
Janet Napolitano,Arizona,2003 - 2009,Democrat,2003
Dave Freudenthal,Wyoming,2003 - 2011,Democrat,2003
Jim Doyle,Wisconsin,2003 - 2011,Democrat,2003
Tim Pawlenty,Minnesota,2003 - 2011,Republican,2003
Felix P. Camacho,Guam,2003 - 2011,Republican,2003
Bill Richardson,New Mexico,2003 - 2011,Democrat,2003
Jennifer M. Granholm,Michigan,2003 - 2011,Democrat,2003
Mitt Romney,Massachusetts,2003 - 2007,Republican,2003
Linda Lingle,Hawaii,2002 - 2010,Republican,2003
Frank H. Murkowski,Alaska,2002 - 2006,Republican,2003
James E. McGreevey,New Jersey,2002 - 2004,Democrat,2003
Juan N. Babauta,Northern Mariana Islands,2002 - 2006,Republican,2003
Mark R. Warner,Virginia,2002 - 2006,Democrat,2003
Mark Schweiker,Pennsylvania,2001 - 2003,Republican,2003
Jane Maria Swift,Massachusetts,2001 - 2003,Republican,2003
Scott McCallum,Wisconsin,2001 - 2003,Republican,2003
Bob Wise,West Virginia,2001 - 2005,Democrat,2003
Robert L. Holden,Missouri,2001 - 2005,Democrat,2003
Ruth Ann Minner,Delaware,2001 - 2009,Democrat,2003
Sila M. Calderon,Puerto Rico,2001 - 2005,Popular Democratic Party,2003
Michael F. Easley,North Carolina,2001 - 2009,Democrat,2003
Judy Martz,Montana,2001 - 2005,Republican,2003
Rick Perry,Texas,2000 - 2015,Republican,2003
John Hoeven,North Dakota,2000 - 2010,Republican,2003
David Ronald “Ronnie” Musgrove,Mississippi,2000 - 2004,Democrat,2003
Donald Eugene Siegelman,Alabama,1999 - 2003,Democrat,2003
Thomas J. Vilsack,Iowa,1999 - 2007,Democrat,2003
Bill Owens,Colorado,1999 - 2007,Republican,2003
Roy E. Barnes,Georgia,1999 - 2003,Democrat,2003
George H. Ryan,Illinois,1999 - 2003,Republican,2003
Dirk Kempthorne,Idaho,1999 - 2006,Republican,2003
Mike Johanns,Nebraska,1999 - 2005,Republican,2003
Jeb Bush,Florida,1999 - 2007,Republican,2003
Kenny Guinn,Nevada,1999 - 2007,Republican,2003
Jesse Ventura,Minnesota,1999 - 2003,Independent,2003
Charles W. Turnbull,Virgin Islands,1999 - 2007,Democrat,2003
Gray Davis,California,1999 - 2003,Democrat,2003
Bob Taft,Ohio,1999 - 2007,Republican,2003
Jim Hodges,South Carolina,1999 - 2003,Democrat,2003
Jane Dee Hull,Arizona,1997 - 2003,Republican,2003
Gary Locke,Washington,1997 - 2005,Democrat,2003
Frank O’Bannon,Indiana,1997 - 2003,Democrat,2003
Jeanne Shaheen,New Hampshire,1997 - 2003,Democrat,2003
Tauese P. F. Sunia,American Samoa,1997 - 2003,Democrat,2003
Mike Huckabee,Arkansas,1996 - 2007,Republican,2003
Paul E. Patton,Kentucky,1995 - 2003,Democrat,2003
Parris N. Glendening,Maryland,1995 - 2003,Democrat,2003
Don Sundquist,Tennessee,1995 - 2003,Republican,2003
Francis Anthony Keating,Oklahoma,1995 - 2003,Republican,2003
Bill Graves,Kansas,1995 - 2003,Republican,2003
William J. Janklow,South Dakota,1995 - 2003,Republican,2003
Angus S. King,Maine,1995 - 2003,Independent,2003
John G. Rowland,Connecticut,1995 - 2004,Republican,2003
Lincoln Almond,Rhode Island,1995 - 2003,Republican,2003
Jim Geringer,Wyoming,1995 - 2003,Republican,2003
Gary E. Johnson,New Mexico,1995 - 2003,Republican,2003
Carl T. C. Gutierrez,Guam,1995 - 2003,Democrat,2003
George E. Pataki,New York,1995 - 2007,Republican,2003
Michael Okerlund Leavitt,Utah,1993 - 2003,Republican,2003
Mike Foster,Louisiana,1992 - 2004,Republican,2003
Howard Dean,Vermont,1991 - 2003,Democrat,2003
John Engler,Michigan,1991 - 2003,Republican,2003
John A. Kitzhaber,Oregon,1995 - 2003,Democrat,2002
Linda Lingle,Hawaii,2002 - 2010,Republican,2002
Frank H. Murkowski,Alaska,2002 - 2006,Republican,2002
James E. McGreevey,New Jersey,2002 - 2004,Democrat,2002
Juan N. Babauta,Northern Mariana Islands,2002 - 2006,Republican,2002
Mark R. Warner,Virginia,2002 - 2006,Democrat,2002
Richard J. Codey,New Jersey,2002 - 2002,Democrat,2002
John O. Bennett,New Jersey,2002 - 2002,Republican,2002
Mark Schweiker,Pennsylvania,2001 - 2003,Republican,2002
Jane Maria Swift,Massachusetts,2001 - 2003,Republican,2002
Scott McCallum,Wisconsin,2001 - 2003,Republican,2002
Donald T. DiFrancesco,New Jersey,2001 - 2002,Republican,2002
Bob Wise,West Virginia,2001 - 2005,Democrat,2002
Robert L. Holden,Missouri,2001 - 2005,Democrat,2002
Ruth Ann Minner,Delaware,2001 - 2009,Democrat,2002
Sila M. Calderon,Puerto Rico,2001 - 2005,Popular Democratic Party,2002
Michael F. Easley,North Carolina,2001 - 2009,Democrat,2002
Judy Martz,Montana,2001 - 2005,Republican,2002
Rick Perry,Texas,2000 - 2015,Republican,2002
John Hoeven,North Dakota,2000 - 2010,Republican,2002
David Ronald “Ronnie” Musgrove,Mississippi,2000 - 2004,Democrat,2002
Donald Eugene Siegelman,Alabama,1999 - 2003,Democrat,2002
Thomas J. Vilsack,Iowa,1999 - 2007,Democrat,2002
Bill Owens,Colorado,1999 - 2007,Republican,2002
Roy E. Barnes,Georgia,1999 - 2003,Democrat,2002
George H. Ryan,Illinois,1999 - 2003,Republican,2002
Dirk Kempthorne,Idaho,1999 - 2006,Republican,2002
Mike Johanns,Nebraska,1999 - 2005,Republican,2002
Jeb Bush,Florida,1999 - 2007,Republican,2002
Kenny Guinn,Nevada,1999 - 2007,Republican,2002
Jesse Ventura,Minnesota,1999 - 2003,Independent,2002
Charles W. Turnbull,Virgin Islands,1999 - 2007,Democrat,2002
Gray Davis,California,1999 - 2003,Democrat,2002
Bob Taft,Ohio,1999 - 2007,Republican,2002
Jim Hodges,South Carolina,1999 - 2003,Democrat,2002
James S. Gilmore,Virginia,1998 - 2002,Republican,2002
Pedro P. Tenorio,Northern Mariana Islands,1998 - 2002,Republican,2002
Jane Dee Hull,Arizona,1997 - 2003,Republican,2002
Gary Locke,Washington,1997 - 2005,Democrat,2002
Frank O’Bannon,Indiana,1997 - 2003,Democrat,2002
Jeanne Shaheen,New Hampshire,1997 - 2003,Democrat,2002
Tauese P. F. Sunia,American Samoa,1997 - 2003,Democrat,2002
Mike Huckabee,Arkansas,1996 - 2007,Republican,2002
Paul E. Patton,Kentucky,1995 - 2003,Democrat,2002
Parris N. Glendening,Maryland,1995 - 2003,Democrat,2002
Don Sundquist,Tennessee,1995 - 2003,Republican,2002
Francis Anthony Keating,Oklahoma,1995 - 2003,Republican,2002
Bill Graves,Kansas,1995 - 2003,Republican,2002
William J. Janklow,South Dakota,1995 - 2003,Republican,2002
Angus S. King,Maine,1995 - 2003,Independent,2002
John G. Rowland,Connecticut,1995 - 2004,Republican,2002
Lincoln Almond,Rhode Island,1995 - 2003,Republican,2002
Jim Geringer,Wyoming,1995 - 2003,Republican,2002
Gary E. Johnson,New Mexico,1995 - 2003,Republican,2002
Carl T. C. Gutierrez,Guam,1995 - 2003,Democrat,2002
George E. Pataki,New York,1995 - 2007,Republican,2002
Tony Knowles,Alaska,1994 - 2002,Democrat,2002
Benjamin J. Cayetano,Hawaii,1994 - 2002,Democrat,2002
Michael Okerlund Leavitt,Utah,1993 - 2003,Republican,2002
Mike Foster,Louisiana,1992 - 2004,Republican,2002
Howard Dean,Vermont,1991 - 2003,Democrat,2002
John Engler,Michigan,1991 - 2003,Republican,2002
